2025-03-04 21:01:18 [INFO] Loaded stored authentication token.
2025-03-04 21:01:18 [INFO] Authenticated successfully.
2025-03-04 21:01:18 [DEBUG] Position: X=1920.00, Y=1080.00, Expression: neutral, Params: {'HeadX': 0, 'HeadY': 0, 'BodyTilt': 0.0, 'BodySwing': 0.0, 'Step': 0.0, 'FaceLean': 0.0, 'BodyLean': 0.0, 'EyesX': 0, 'EyesY': 0, 'ArmLeftX': 0.0, 'ArmRightX': 5.0, 'EyebrowLeft': 0, 'EyebrowRight': 0, 'BrowAngleLeft': 0, 'BrowAngleRight': 0}
2025-03-04 21:01:18 [ERROR] Error loading conversation history: Expecting value: line 1 column 1 (char 0)
2025-03-04 21:01:18 [DEBUG] Position: X=1920.00, Y=1080.00, Expression: neutral, Params: {'HeadX': 0, 'HeadY': 0, 'BodyTilt': 0.0, 'BodySwing': 0.0, 'Step': 0.0, 'FaceLean': 0.0, 'BodyLean': 0.0, 'EyesX': 0, 'EyesY': 0, 'ArmLeftX': 1.545084971874737, 'ArmRightX': 4.755282581475767, 'EyebrowLeft': 0, 'EyebrowRight': 0, 'BrowAngleLeft': 0, 'BrowAngleRight': 0}
2025-03-04 21:01:18 [DEBUG] Position: X=1920.00, Y=1080.00, Expression: neutral, Params: {'HeadX': 0, 'HeadY': 0, 'BodyTilt': 0.0, 'BodySwing': 0.0, 'Step': 0.0, 'FaceLean': 0.0, 'BodyLean': 0.0, 'EyesX': 0, 'EyesY': 0, 'ArmLeftX': 2.938926261462366, 'ArmRightX': 4.045084971874737, 'EyebrowLeft': 0, 'EyebrowRight': 0, 'BrowAngleLeft': 0, 'BrowAngleRight': 0}
2025-03-04 21:01:19 [DEBUG] Position: X=1920.00, Y=1080.00, Expression: neutral, Params: {'HeadX': 0, 'HeadY': 0, 'BodyTilt': 0.0, 'BodySwing': 0.0, 'Step': 0.0, 'FaceLean': 0.0, 'BodyLean': 0.0, 'EyesX': 0, 'EyesY': 0, 'ArmLeftX': 4.045084971874737, 'ArmRightX': 2.938926261462365, 'EyebrowLeft': 0, 'EyebrowRight': 0, 'BrowAngleLeft': 0, 'BrowAngleRight': 0}
2025-03-04 21:01:19 [DEBUG] Position: X=1920.00, Y=1080.00, Expression: neutral, Params: {'HeadX': 0, 'HeadY': 0, 'BodyTilt': 0.0, 'BodySwing': 0.0, 'Step': 0.0, 'FaceLean': 0.0, 'BodyLean': 0.0, 'EyesX': 0, 'EyesY': 0, 'ArmLeftX': 4.755282581475767, 'ArmRightX': 1.5450849718747373, 'EyebrowLeft': 0, 'EyebrowRight': 0, 'BrowAngleLeft': 0, 'BrowAngleRight': 0}
2025-03-04 21:01:19 [DEBUG] Position: X=1920.00, Y=1080.00, Expression: neutral, Params: {'HeadX': 0, 'HeadY': 0, 'BodyTilt': 0.0, 'BodySwing': 0.0, 'Step': 0.0, 'FaceLean': 0.0, 'BodyLean': 0.0, 'EyesX': 0, 'EyesY': 0, 'ArmLeftX': 5.0, 'ArmRightX': 3.061616997868383e-16, 'EyebrowLeft': 0, 'EyebrowRight': 0, 'BrowAngleLeft': 0, 'BrowAngleRight': 0}
2025-03-04 21:01:19 [DEBUG] Position: X=1920.00, Y=1080.00, Expression: neutral, Params: {'HeadX': 0, 'HeadY': 0, 'BodyTilt': 0.0, 'BodySwing': 0.0, 'Step': 0.0, 'FaceLean': 0.0, 'BodyLean': 0.0, 'EyesX': 0, 'EyesY': 0, 'ArmLeftX': 4.755282581475767, 'ArmRightX': -1.5450849718747377, 'EyebrowLeft': 0, 'EyebrowRight': 0, 'BrowAngleLeft': 0, 'BrowAngleRight': 0}
2025-03-04 21:01:19 [DEBUG] Position: X=1920.00, Y=1080.00, Expression: neutral, Params: {'HeadX': 0, 'HeadY': 0, 'BodyTilt': 0.0, 'BodySwing': 0.0, 'Step': 0.0, 'FaceLean': 0.0, 'BodyLean': 0.0, 'EyesX': 0, 'EyesY': 0, 'ArmLeftX': 4.045084971874737, 'ArmRightX': -2.938926261462365, 'EyebrowLeft': 0, 'EyebrowRight': 0, 'BrowAngleLeft': 0, 'BrowAngleRight': 0}
2025-03-04 21:01:19 [DEBUG] Position: X=1920.00, Y=1080.00, Expression: neutral, Params: {'HeadX': 0, 'HeadY': 0, 'BodyTilt': 0.0, 'BodySwing': 0.0, 'Step': 0.0, 'FaceLean': 0.0, 'BodyLean': 0.0, 'EyesX': 0, 'EyesY': 0, 'ArmLeftX': 2.9389262614623664, 'ArmRightX': -4.045084971874736, 'EyebrowLeft': 0, 'EyebrowRight': 0, 'BrowAngleLeft': 0, 'BrowAngleRight': 0}
2025-03-04 21:01:19 [DEBUG] Position: X=1920.00, Y=1080.00, Expression: neutral, Params: {'HeadX': 0, 'HeadY': 0, 'BodyTilt': 0.0, 'BodySwing': 0.0, 'Step': 0.0, 'FaceLean': 0.0, 'BodyLean': 0.0, 'EyesX': 0, 'EyesY': 0, 'ArmLeftX': 1.5450849718747375, 'ArmRightX': -4.755282581475767, 'EyebrowLeft': 0, 'EyebrowRight': 0, 'BrowAngleLeft': 0, 'BrowAngleRight': 0}
